10:14:44 AM-> [15]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!04A1.6]Raw [21 30 34 41 31 2E 36 ]
10:14:44 AM-> [16]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0430]Raw [21 30 34 33 30 ]
10:14:44 AM-> [31]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!04400800]Raw [21 30 34 34 30 30 38 30 30 ]
10:14:44 AM-> [16]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0004400700], Rec [!04]Raw [21 30 34 ]
10:14:44 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0004400800], Rec [!04]Raw [21 30 34 ]
10:14:44 AM-> Close COM 1
10:17:19 AM-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
10:17:19 AM-> Close COM 1
10:18:56 AM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
10:18:57 AM-> Modbus RTU Timeout  GET_MODULE_NAME,B[115200],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
10:18:57 AM-> [252394]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tDA1P1R1]Raw [21 30 31 74 44 41 31 50 31 52 31 ]
10:18:57 AM-> [63]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.2]Raw [21 30 31 41 31 2E 32 ]
10:18:57 AM-> [31]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.2]Raw [21 30 31 41 31 2E 32 ]
10:18:57 AM-> [47]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
10:18:58 AM-> Modbus RTU Timeout  GET_MODULE_NAME,B[9600],F[N,8,1], , CmdType [100], Cmd [00 46 00 43 A0], wT = 600
10:18:58 AM-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
10:18:58 AM-> Close COM 1
10:18:59 AM-> [2464]DCON READ_MF_DO_POWERON_SAFE_VALUE,B[9600],F[N,8,1], C[Disable], Cmd [~004], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:00 AM-> [32]DCON READ_MF_DO_POWERON_SAFE_VALUE,B[9600],F[N,8,1], C[Disable], Cmd [~004], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:00 AM-> [46]DCON GET_DI_REVERSE,B[9600],F[N,8,1], C[Disable], Cmd [~00D], Rec [!0101]Raw [21 30 31 30 31 ]
10:19:00 AM-> [47]DCON GET_WDT_TIMER_ENABLE,B[9600],F[N,8,1], C[Disable], Cmd [~002], Rec [!010FA]Raw [21 30 31 30 46 41 ]
10:19:00 AM-> [47]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000600]Raw [21 30 31 30 30 30 36 30 30 ]
10:19:00 AM-> [47]DCON GET_RESPONSE_DELAY_TIME,B[9600],F[N,8,1], C[Disable], Cmd [~00RD], Rec [!0119]Raw [21 30 31 31 39 ]
10:19:00 AM-> [47]DCON GET_MODULE_CONFIG,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01000600]Raw [21 30 31 30 30 30 36 30 30 ]
10:19:00 AM-> [31]DCON GET_RESPONSE_DELAY_TIME,B[9600],F[N,8,1], C[Disable], Cmd [~00RD], Rec [!0119]Raw [21 30 31 31 39 ]
10:19:00 AM-> [47]DCON GET_CH0_AO_RANGE_SLEW,B[9600],F[N,8,1], C[Disable], Cmd [$0090], Rec [!0110]Raw [21 30 31 31 30 ]
10:19:00 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:00 AM-> [94]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:00 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:00 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:00 AM-> [46]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:00 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:00 AM-> [31]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:00 AM-> [63]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:00 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:00 AM-> [62]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:00 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:00 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:00 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:01 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:01 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:01 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:01 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:01 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:01 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:01 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:01 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:01 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:01 AM-> [46]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:01 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:01 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:01 AM-> [156]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:01 AM-> [31]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:01 AM-> [47]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:01 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:01 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:01 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:02 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:02 AM-> [46]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:02 AM-> [141]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:02 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:02 AM-> [46]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:02 AM-> [32]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:02 AM-> [46]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:02 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:02 AM-> [47]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:02 AM-> [47]DCON READ_CH0_LAST_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
10:19:02 AM-> [140]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0100]Raw [21 30 31 30 30 ]
10:19:02 AM-> [47]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:02 AM-> [31]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!000100]Raw [21 30 30 30 31 30 30 ]
10:19:02 AM-> [47]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!010000]Raw [21 30 31 30 30 30 30 ]
10:19:02 AM-> [47]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0100000]Raw [21 30 31 30 30 30 30 30 ]
10:19:02 AM-> [47]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0001]Raw [3E 30 30 30 31 ]
10:19:02 AM-> [46]DCON READ_CH0_AO,B[9600],F[N,8,1], C[Disable], Cmd [$0080], Rec [!01+04.000]Raw [21 30 31 2B 30 34 2E 30 30 30 ]
